CE_WB_CURRENT,HS_ENSG
WBGene00000223,ENSG00000115966
WBGene00000223,ENSG00000146592
WBGene00000223,ENSG00000170653
WBGene00000250,ENSG00000089685
WBGene00000267,ENSG00000162630
WBGene00000267,ENSG00000169255
WBGene00000267,ENSG00000172318
WBGene00000267,ENSG00000183778
WBGene00000267,ENSG00000235863
WBGene00000425,ENSG00000070985
WBGene00000425,ENSG00000130529
WBGene00000425,ENSG00000142185
WBGene00000425,ENSG00000144481
WBGene00000487,ENSG00000132259
WBGene00000487,ENSG00000144191
WBGene00000487,ENSG00000183862
WBGene00000487,ENSG00000198515
WBGene00000551,ENSG00000111676
WBGene00000551,ENSG00000142599
WBGene00000551,ENSG00000183248
WBGene00000551,ENSG00000251655
WBGene00000562,ENSG00000132259
WBGene00000562,ENSG00000144191
WBGene00000562,ENSG00000183862
WBGene00000562,ENSG00000198515
WBGene00000563,ENSG00000132259
WBGene00000563,ENSG00000144191
WBGene00000563,ENSG00000183862
WBGene00000563,ENSG00000198515
WBGene00000905,ENSG00000073067
WBGene00000905,ENSG00000198251
WBGene00000905,ENSG00000213908
WBGene00001214,ENSG00000166816
WBGene00001240,ENSG00000119915
WBGene00001240,ENSG00000170522
WBGene00001345,ENSG00000075426
WBGene00001345,ENSG00000125740
WBGene00001345,ENSG00000140044
WBGene00001345,ENSG00000162772
WBGene00001345,ENSG00000170345
WBGene00001345,ENSG00000175592
WBGene00001466,ENSG00000149735
WBGene00001598,ENSG00000152670
WBGene00001600,ENSG00000152670
WBGene00001601,ENSG00000152670
WBGene00001653,ENSG00000116580
WBGene00001653,ENSG00000163374
WBGene00001726,ENSG00000161249
WBGene00001732,ENSG00000203782
WBGene00002220,ENSG00000163749
WBGene00002278,ENSG00000075975
WBGene00002278,ENSG00000133606
WBGene00002278,ENSG00000179455
WBGene00002827,ENSG00000169894
WBGene00003002,ENSG00000102935
WBGene00003002,ENSG00000142528
WBGene00003002,ENSG00000198795
WBGene00003031,ENSG00000171723
WBGene00003087,ENSG00000204644
WBGene00003236,ENSG00000099974
WBGene00003236,ENSG00000099977
WBGene00003499,ENSG00000107951
WBGene00003499,ENSG00000149016
WBGene00003507,ENSG00000152670
WBGene00003520,ENSG00000188886
WBGene00003521,ENSG00000188886
WBGene00003522,ENSG00000188886
WBGene00003524,ENSG00000188886
WBGene00003531,ENSG00000188886
WBGene00003591,ENSG00000104537
WBGene00003785,ENSG00000198646
WBGene00003792,ENSG00000030066
WBGene00003801,ENSG00000069248
WBGene00004004,ENSG00000004846
WBGene00004004,ENSG00000005471
WBGene00004004,ENSG00000073734
WBGene00004004,ENSG00000085563
WBGene00004057,ENSG00000112062
WBGene00004057,ENSG00000156711
WBGene00004057,ENSG00000185386
WBGene00004057,ENSG00000188130
WBGene00004114,ENSG00000163491
WBGene00004115,ENSG00000163207
WBGene00004132,ENSG00000184708
WBGene00004146,ENSG00000121335
WBGene00004146,ENSG00000134551
WBGene00004146,ENSG00000197870
WBGene00004146,ENSG00000230657
WBGene00004146,ENSG00000231887
WBGene00004349,ENSG00000148908
WBGene00004349,ENSG00000159788
WBGene00004349,ENSG00000169220
WBGene00004508,ENSG00000166816
WBGene00004509,ENSG00000166816
WBGene00004510,ENSG00000166816
WBGene00004765,ENSG00000099917
WBGene00004928,ENSG00000033327
WBGene00004928,ENSG00000109458
WBGene00004928,ENSG00000160219
WBGene00004928,ENSG00000215568
WBGene00006050,ENSG00000049540
WBGene00006051,ENSG00000049540
WBGene00006052,ENSG00000049540
WBGene00006053,ENSG00000049540
WBGene00006375,ENSG00000047410
WBGene00006450,ENSG00000154783
WBGene00006450,ENSG00000180263
WBGene00006499,ENSG00000111596
WBGene00006656,ENSG00000186795
WBGene00006719,ENSG00000156587
WBGene00006864,ENSG00000128285
WBGene00006864,ENSG00000152034
WBGene00006947,ENSG00000139549
WBGene00006947,ENSG00000163501
WBGene00006947,ENSG00000164690
WBGene00006948,ENSG00000139549
WBGene00006948,ENSG00000163501
WBGene00006948,ENSG00000164690
WBGene00006950,ENSG00000139549
WBGene00006950,ENSG00000163501
WBGene00006950,ENSG00000164690
WBGene00006952,ENSG00000139549
WBGene00006952,ENSG00000163501
WBGene00006952,ENSG00000164690
WBGene00006953,ENSG00000139549
WBGene00006953,ENSG00000163501
WBGene00006953,ENSG00000164690
WBGene00006954,ENSG00000139549
WBGene00006954,ENSG00000163501
WBGene00006954,ENSG00000164690
WBGene00006955,ENSG00000139549
WBGene00006955,ENSG00000163501
WBGene00006955,ENSG00000164690
WBGene00007068,ENSG00000146416
WBGene00007141,ENSG00000144136
WBGene00007141,ENSG00000168575
WBGene00007153,ENSG00000123610
WBGene00007356,ENSG00000185940
WBGene00007356,ENSG00000196224
WBGene00007356,ENSG00000204571
WBGene00007356,ENSG00000204572
WBGene00007356,ENSG00000205864
WBGene00007356,ENSG00000205867
WBGene00007356,ENSG00000205869
WBGene00007356,ENSG00000241233
WBGene00007356,ENSG00000241598
WBGene00007356,ENSG00000244411
WBGene00007362,ENSG00000198251
WBGene00007362,ENSG00000213908
WBGene00007602,ENSG00000104859
WBGene00007764,ENSG00000064309
WBGene00007764,ENSG00000144857
WBGene00007820,ENSG00000111796
WBGene00007820,ENSG00000139187
WBGene00007820,ENSG00000150045
WBGene00007846,ENSG00000125633
WBGene00007847,ENSG00000125633
WBGene00008065,ENSG00000128285
WBGene00008065,ENSG00000152034
WBGene00008161,ENSG00000162630
WBGene00008161,ENSG00000169255
WBGene00008161,ENSG00000172318
WBGene00008161,ENSG00000183778
WBGene00008161,ENSG00000235863
WBGene00008291,ENSG00000162630
WBGene00008291,ENSG00000169255
WBGene00008291,ENSG00000172318
WBGene00008291,ENSG00000183778
WBGene00008291,ENSG00000235863
WBGene00008478,ENSG00000162630
WBGene00008478,ENSG00000169255
WBGene00008478,ENSG00000172318
WBGene00008478,ENSG00000183778
WBGene00008478,ENSG00000235863
WBGene00008533,ENSG00000140395
WBGene00008707,ENSG00000189139
WBGene00008714,ENSG00000187522
WBGene00008762,ENSG00000197343
WBGene00008787,ENSG00000162630
WBGene00008787,ENSG00000169255
WBGene00008787,ENSG00000172318
WBGene00008787,ENSG00000183778
WBGene00008787,ENSG00000235863
WBGene00008829,ENSG00000198251
WBGene00008829,ENSG00000213908
WBGene00008891,ENSG00000123610
WBGene00008910,ENSG00000204653
WBGene00008932,ENSG00000109079
WBGene00008932,ENSG00000110906
WBGene00008932,ENSG00000174943
WBGene00009009,ENSG00000125817
WBGene00009009,ENSG00000140993
WBGene00009009,ENSG00000164296
WBGene00009009,ENSG00000169989
WBGene00009009,ENSG00000179886
WBGene00009009,ENSG00000180346
WBGene00009009,ENSG00000183340
WBGene00009009,ENSG00000221944
WBGene00009251,ENSG00000185940
WBGene00009251,ENSG00000196224
WBGene00009251,ENSG00000204571
WBGene00009251,ENSG00000204572
WBGene00009251,ENSG00000205864
WBGene00009251,ENSG00000205867
WBGene00009251,ENSG00000205869
WBGene00009251,ENSG00000241233
WBGene00009251,ENSG00000241598
WBGene00009251,ENSG00000244411
WBGene00009362,ENSG00000048828
WBGene00009362,ENSG00000184083
WBGene00009578,ENSG00000130528
WBGene00009582,ENSG00000119457
WBGene00009587,ENSG00000063169
WBGene00009743,ENSG00000164651
WBGene00009743,ENSG00000170374
WBGene00009743,ENSG00000217236
WBGene00009796,ENSG00000134504
WBGene00009796,ENSG00000153885
WBGene00009937,ENSG00000204644
WBGene00009942,ENSG00000010165
WBGene00010155,ENSG00000156639
WBGene00010626,ENSG00000005156
WBGene00010766,ENSG00000113048
WBGene00010770,ENSG00000140548
WBGene00010770,ENSG00000178175
WBGene00010796,ENSG00000130779
WBGene00010828,ENSG00000160606
WBGene00010828,ENSG00000185561
WBGene00010888,ENSG00000100246
WBGene00010913,ENSG00000198060
WBGene00011059,ENSG00000101811
WBGene00011059,ENSG00000102317
WBGene00011059,ENSG00000177613
WBGene00011059,ENSG00000197038
WBGene00011266,ENSG00000185940
WBGene00011266,ENSG00000196224
WBGene00011266,ENSG00000204571
WBGene00011266,ENSG00000204572
WBGene00011266,ENSG00000205864
WBGene00011266,ENSG00000205867
WBGene00011266,ENSG00000205869
WBGene00011266,ENSG00000241233
WBGene00011266,ENSG00000241598
WBGene00011266,ENSG00000244411
WBGene00011291,ENSG00000087495
WBGene00011313,ENSG00000185940
WBGene00011313,ENSG00000196224
WBGene00011313,ENSG00000204571
WBGene00011313,ENSG00000204572
WBGene00011313,ENSG00000205864
WBGene00011313,ENSG00000205867
WBGene00011313,ENSG00000205869
WBGene00011313,ENSG00000241233
WBGene00011313,ENSG00000241598
WBGene00011313,ENSG00000244411
WBGene00011372,ENSG00000128285
WBGene00011372,ENSG00000152034
WBGene00011381,ENSG00000128285
WBGene00011381,ENSG00000152034
WBGene00011382,ENSG00000196639
WBGene00011424,ENSG00000159228
WBGene00011424,ENSG00000159231
WBGene00011444,ENSG00000100503
WBGene00011444,ENSG00000101004
WBGene00011444,ENSG00000130307
WBGene00011444,ENSG00000171444
WBGene00011469,ENSG00000146425
WBGene00011469,ENSG00000165169
WBGene00011578,ENSG00000119973
WBGene00011578,ENSG00000123901
WBGene00011636,ENSG00000196199
WBGene00011659,ENSG00000162630
WBGene00011659,ENSG00000169255
WBGene00011659,ENSG00000172318
WBGene00011659,ENSG00000183778
WBGene00011659,ENSG00000235863
WBGene00011665,ENSG00000162630
WBGene00011665,ENSG00000169255
WBGene00011665,ENSG00000172318
WBGene00011665,ENSG00000183778
WBGene00011665,ENSG00000235863
WBGene00011698,ENSG00000198251
WBGene00011698,ENSG00000213908
WBGene00011699,ENSG00000198251
WBGene00011699,ENSG00000213908
WBGene00011742,ENSG00000113583
WBGene00011780,ENSG00000162630
WBGene00011780,ENSG00000169255
WBGene00011780,ENSG00000172318
WBGene00011780,ENSG00000183778
WBGene00011780,ENSG00000235863
WBGene00011890,ENSG00000213463
WBGene00011948,ENSG00000243978
WBGene00011949,ENSG00000171396
WBGene00011949,ENSG00000188581
WBGene00011949,ENSG00000196156
WBGene00011949,ENSG00000198090
WBGene00011949,ENSG00000198271
WBGene00011949,ENSG00000198443
WBGene00011949,ENSG00000204880
WBGene00011949,ENSG00000204887
WBGene00011949,ENSG00000212721
