CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT
WBGene00000003,ENSG00000155465,WBGene00000003,
WBGene00000022,ENSG00000167972,WBGene00000022,
WBGene00000023,ENSG00000154263,WBGene00000023,
WBGene00000024,ENSG00000188155,WBGene00000024,
WBGene00000024,ENSG00000215454,WBGene00000024,
WBGene00000024,ENSG00000221837,WBGene00000024,
WBGene00000024,ENSG00000241123,WBGene00000024,
WBGene00000024,ENSG00000243489,WBGene00000024,
WBGene00000026,ENSG00000221859,WBGene00000026,
WBGene00000028,ENSG00000188155,WBGene00000028,
WBGene00000028,ENSG00000215454,WBGene00000028,
WBGene00000028,ENSG00000221837,WBGene00000028,
WBGene00000028,ENSG00000241123,WBGene00000028,
WBGene00000028,ENSG00000243489,WBGene00000028,
WBGene00000029,ENSG00000240542,WBGene00000029,
WBGene00000033,ENSG00000272804,WBGene00000033,
WBGene00000036,ENSG00000114200,WBGene00000036,
WBGene00000039,ENSG00000130234,WBGene00000039,
WBGene00000039,ENSG00000264813,WBGene00000039,
WBGene00000040,ENSG00000122729,WBGene00000040,
WBGene00000041,ENSG00000100412,WBGene00000041,
WBGene00000058,ENSG00000166664,WBGene00000058,
WBGene00000060,ENSG00000129749,WBGene00000060,
WBGene00000060,ENSG00000174343,WBGene00000060,
WBGene00000064,ENSG00000075624,WBGene00000064,
WBGene00000064,ENSG00000184009,WBGene00000064,
WBGene00000066,ENSG00000075624,WBGene00000066,
WBGene00000066,ENSG00000184009,WBGene00000066,
WBGene00000068,ENSG00000162104,WBGene00000068,
WBGene00000069,ENSG00000078295,WBGene00000069,
WBGene00000069,ENSG00000129467,WBGene00000069,
WBGene00000071,ENSG00000173175,WBGene00000071,
WBGene00000071,ENSG00000174233,WBGene00000071,
WBGene00000072,ENSG00000087274,WBGene00000072,
WBGene00000074,ENSG00000168615,WBGene00000074,
WBGene00000080,ENSG00000197381,WBGene00000080,
WBGene00000081,ENSG00000018510,WBGene00000081,
WBGene00000082,ENSG00000049192,WBGene00000082,
WBGene00000082,ENSG00000140470,WBGene00000082,
WBGene00000082,ENSG00000140873,WBGene00000082,
WBGene00000082,ENSG00000145536,WBGene00000082,
WBGene00000083,ENSG00000049192,WBGene00000083,
WBGene00000083,ENSG00000140470,WBGene00000083,
WBGene00000083,ENSG00000140873,WBGene00000083,
WBGene00000083,ENSG00000145536,WBGene00000083,
WBGene00000086,ENSG00000110514,WBGene00000086,
WBGene00000089,ENSG00000041353,WBGene00000089,
WBGene00000089,ENSG00000069974,WBGene00000089,
WBGene00000090,ENSG00000121879,WBGene00000090,
WBGene00000092,ENSG00000121957,WBGene00000092,
WBGene00000092,ENSG00000160360,WBGene00000092,
WBGene00000096,ENSG00000130751,WBGene00000096,
WBGene00000097,ENSG00000178381,WBGene00000097,
WBGene00000099,ENSG00000087586,WBGene00000099,
WBGene00000099,ENSG00000105146,WBGene00000099,
WBGene00000099,ENSG00000178999,WBGene00000099,
WBGene00000102,ENSG00000105221,WBGene00000102,
WBGene00000102,ENSG00000275199,WBGene00000102,
WBGene00000103,ENSG00000105221,WBGene00000103,
WBGene00000103,ENSG00000275199,WBGene00000103,
WBGene00000105,ENSG00000092847,WBGene00000105,
WBGene00000105,ENSG00000123908,WBGene00000105,
WBGene00000105,ENSG00000126070,WBGene00000105,
WBGene00000105,ENSG00000134698,WBGene00000105,
WBGene00000107,ENSG00000111275,WBGene00000107,
WBGene00000108,ENSG00000137124,WBGene00000108,
WBGene00000109,ENSG00000136010,WBGene00000109,
WBGene00000109,ENSG00000144908,WBGene00000109,
WBGene00000110,ENSG00000072210,WBGene00000110,
WBGene00000110,ENSG00000108602,WBGene00000110,
WBGene00000111,ENSG00000072210,WBGene00000111,
WBGene00000111,ENSG00000108602,WBGene00000111,
WBGene00000112,ENSG00000159423,WBGene00000112,
WBGene00000113,ENSG00000112294,WBGene00000113,
WBGene00000114,ENSG00000119711,WBGene00000114,
WBGene00000115,ENSG00000164904,WBGene00000115,
WBGene00000116,ENSG00000118514,WBGene00000116,
WBGene00000117,ENSG00000143149,WBGene00000117,
WBGene00000118,ENSG00000143149,WBGene00000118,
WBGene00000121,ENSG00000183684,WBGene00000121,
WBGene00000123,ENSG00000181222,WBGene00000123,
WBGene00000137,ENSG00000165097,WBGene00000137,
WBGene00000142,ENSG00000142230,WBGene00000142,
WBGene00000147,ENSG00000117362,WBGene00000147,
WBGene00000147,ENSG00000138613,WBGene00000147,
WBGene00000148,ENSG00000162736,WBGene00000148,
WBGene00000149,ENSG00000084234,WBGene00000149,
WBGene00000149,ENSG00000142192,WBGene00000149,
WBGene00000150,ENSG00000129354,WBGene00000150,
WBGene00000155,ENSG00000108039,WBGene00000155,
WBGene00000157,ENSG00000042753,WBGene00000157,
WBGene00000158,ENSG00000166747,WBGene00000158,
WBGene00000159,ENSG00000106367,WBGene00000159,
WBGene00000159,ENSG00000182287,WBGene00000159,
WBGene00000159,ENSG00000280852,WBGene00000159,
WBGene00000160,ENSG00000100280,WBGene00000160,
WBGene00000162,ENSG00000065000,WBGene00000162,
WBGene00000164,ENSG00000070718,WBGene00000164,
WBGene00000164,ENSG00000185009,WBGene00000164,
WBGene00000165,ENSG00000157823,WBGene00000165,
WBGene00000165,ENSG00000177879,WBGene00000165,
WBGene00000166,ENSG00000100083,WBGene00000166,
WBGene00000170,ENSG00000143595,WBGene00000170,
WBGene00000170,ENSG00000165272,WBGene00000170,
WBGene00000175,ENSG00000143595,WBGene00000175,
WBGene00000175,ENSG00000165272,WBGene00000175,
WBGene00000176,ENSG00000143595,WBGene00000176,
WBGene00000176,ENSG00000165272,WBGene00000176,
WBGene00000177,ENSG00000178301,WBGene00000177,
WBGene00000180,ENSG00000113595,WBGene00000180,
WBGene00000181,ENSG00000072506,WBGene00000181,
WBGene00000182,ENSG00000134287,WBGene00000182,
WBGene00000182,ENSG00000143761,WBGene00000182,
WBGene00000182,ENSG00000272822,WBGene00000182,
WBGene00000183,ENSG00000004059,WBGene00000183,
WBGene00000183,ENSG00000168374,WBGene00000183,
WBGene00000184,ENSG00000165527,WBGene00000184,
WBGene00000186,ENSG00000099308,WBGene00000186,
WBGene00000187,ENSG00000120805,WBGene00000187,
WBGene00000188,ENSG00000138175,WBGene00000188,
WBGene00000189,ENSG00000162980,WBGene00000189,
WBGene00000189,ENSG00000165997,WBGene00000189,
WBGene00000192,ENSG00000134108,WBGene00000192,
WBGene00000192,ENSG00000143862,WBGene00000192,
WBGene00000193,ENSG00000113966,WBGene00000193,
WBGene00000195,ENSG00000137486,WBGene00000195,
WBGene00000195,ENSG00000141480,WBGene00000195,
WBGene00000197,ENSG00000090861,WBGene00000197,
WBGene00000198,ENSG00000099797,WBGene00000198,
WBGene00000199,ENSG00000115091,WBGene00000199,
WBGene00000200,ENSG00000138071,WBGene00000200,
WBGene00000201,ENSG00000241685,WBGene00000201,
WBGene00000203,ENSG00000111229,WBGene00000203,
WBGene00000204,ENSG00000241553,WBGene00000204,
WBGene00000204,ENSG00000250151,WBGene00000204,
WBGene00000205,ENSG00000136950,WBGene00000205,
WBGene00000205,ENSG00000162704,WBGene00000205,
WBGene00000207,ENSG00000116459,WBGene00000207,
WBGene00000216,ENSG00000131400,WBGene00000216,
WBGene00000216,ENSG00000196188,WBGene00000216,
WBGene00000217,ENSG00000117984,WBGene00000217,
WBGene00000224,ENSG00000168003,WBGene00000224,
WBGene00000225,ENSG00000138079,WBGene00000225,
WBGene00000228,ENSG00000072110,WBGene00000228,
WBGene00000228,ENSG00000077522,WBGene00000228,
WBGene00000228,ENSG00000130402,WBGene00000228,
WBGene00000228,ENSG00000248746,WBGene00000228,
WBGene00000229,ENSG00000110955,WBGene00000229,
WBGene00000230,ENSG00000241837,WBGene00000230,
WBGene00000232,ENSG00000101958,WBGene00000232,
WBGene00000232,ENSG00000145451,WBGene00000232,
WBGene00000232,ENSG00000145888,WBGene00000232,
WBGene00000232,ENSG00000188828,WBGene00000232,
WBGene00000235,ENSG00000175334,WBGene00000235,
WBGene00000240,ENSG00000171759,WBGene00000240,
WBGene00000241,ENSG00000256349,WBGene00000241,
WBGene00000242,ENSG00000125124,WBGene00000242,
WBGene00000244,ENSG00000165533,WBGene00000244,
WBGene00000247,ENSG00000126581,WBGene00000247,
WBGene00000253,ENSG00000137857,WBGene00000253,
WBGene00000253,ENSG00000140279,WBGene00000253,
WBGene00000254,ENSG00000115257,WBGene00000254,
WBGene00000265,ENSG00000138376,WBGene00000265,
WBGene00000266,ENSG00000112699,WBGene00000266,
WBGene00000269,ENSG00000086062,WBGene00000269,
WBGene00000269,ENSG00000158850,WBGene00000269,
WBGene00000270,ENSG00000169255,WBGene00000270,
WBGene00000271,ENSG00000185024,WBGene00000271,
WBGene00000274,ENSG00000095564,WBGene00000274,
WBGene00000276,ENSG00000112578,WBGene00000276,
WBGene00000279,ENSG00000063180,WBGene00000279,
WBGene00000279,ENSG00000154975,WBGene00000279,
WBGene00000280,ENSG00000063180,WBGene00000280,
WBGene00000280,ENSG00000154975,WBGene00000280,
WBGene00000289,ENSG00000169071,WBGene00000289,
WBGene00000289,ENSG00000185483,WBGene00000289,
WBGene00000292,ENSG00000116489,WBGene00000292,
WBGene00000292,ENSG00000198898,WBGene00000292,
WBGene00000293,ENSG00000077549,WBGene00000293,
WBGene00000295,ENSG00000036565,WBGene00000295,
WBGene00000295,ENSG00000165646,WBGene00000295,
WBGene00000296,ENSG00000180176,WBGene00000296,
WBGene00000298,ENSG00000131979,WBGene00000298,
WBGene00000367,ENSG00000006283,WBGene00000367,
WBGene00000367,ENSG00000100346,WBGene00000367,
WBGene00000367,ENSG00000196557,WBGene00000367,
WBGene00000368,ENSG00000067191,WBGene00000368,
WBGene00000368,ENSG00000167535,WBGene00000368,
WBGene00000368,ENSG00000182389,WBGene00000368,
WBGene00000369,ENSG00000198791,WBGene00000369,
WBGene00000371,ENSG00000135940,WBGene00000371,
WBGene00000376,ENSG00000113300,WBGene00000376,
WBGene00000376,ENSG00000138767,WBGene00000376,
WBGene00000377,ENSG00000120438,WBGene00000377,
WBGene00000378,ENSG00000166226,WBGene00000378,
WBGene00000379,ENSG00000115484,WBGene00000379,
WBGene00000380,ENSG00000150753,WBGene00000380,
WBGene00000381,ENSG00000132141,WBGene00000381,
WBGene00000381,ENSG00000146731,WBGene00000381,
WBGene00000382,ENSG00000094804,WBGene00000382,
WBGene00000392,ENSG00000158825,WBGene00000392,
WBGene00000396,ENSG00000083857,WBGene00000396,
WBGene00000396,ENSG00000165323,WBGene00000396,
WBGene00000403,ENSG00000171603,WBGene00000403,
WBGene00000405,ENSG00000170312,WBGene00000405,
WBGene00000406,ENSG00000135446,WBGene00000406,
WBGene00000407,ENSG00000164885,WBGene00000407,
WBGene00000408,ENSG00000277273,WBGene00000408,
WBGene00000409,ENSG00000132964,WBGene00000409,
WBGene00000409,ENSG00000155111,WBGene00000409,
WBGene00000410,ENSG00000136807,WBGene00000410,
WBGene00000414,ENSG00000205642,WBGene00000414,
WBGene00000415,ENSG00000145794,WBGene00000415,
WBGene00000416,ENSG00000099942,WBGene00000416,
WBGene00000416,ENSG00000167193,WBGene00000416,
WBGene00000419,ENSG00000150760,WBGene00000419,
WBGene00000422,ENSG00000158156,WBGene00000422,
WBGene00000422,ENSG00000221947,WBGene00000422,
WBGene00000424,ENSG00000169750,WBGene00000424,
WBGene00000426,ENSG00000062598,WBGene00000426,
WBGene00000426,ENSG00000102890,WBGene00000426,
WBGene00000426,ENSG00000155849,WBGene00000426,
WBGene00000455,ENSG00000126778,WBGene00000455,
WBGene00000455,ENSG00000170577,WBGene00000455,
WBGene00000464,ENSG00000072571,WBGene00000464,
WBGene00000466,ENSG00000111880,WBGene00000466,
WBGene00000468,ENSG00000165702,WBGene00000468,
WBGene00000478,ENSG00000111432,WBGene00000478,
WBGene00000478,ENSG00000163251,WBGene00000478,
WBGene00000478,ENSG00000177283,WBGene00000478,
WBGene00000479,ENSG00000110367,WBGene00000479,
WBGene00000480,ENSG00000100226,WBGene00000480,
WBGene00000481,ENSG00000070748,WBGene00000481,
WBGene00000482,ENSG00000111642,WBGene00000482,
WBGene00000482,ENSG00000170004,WBGene00000482,
WBGene00000484,ENSG00000068885,WBGene00000484,
WBGene00000484,ENSG00000248710,WBGene00000484,
WBGene00000485,ENSG00000187240,WBGene00000485,
WBGene00000490,ENSG00000187535,WBGene00000490,
WBGene00000491,ENSG00000198718,WBGene00000491,
WBGene00000492,ENSG00000114446,WBGene00000492,
WBGene00000493,ENSG00000140323,WBGene00000493,
WBGene00000498,ENSG00000149554,WBGene00000498,
WBGene00000499,ENSG00000183765,WBGene00000499,
WBGene00000500,ENSG00000103266,WBGene00000500,
WBGene00000501,ENSG00000115665,WBGene00000501,
WBGene00000502,ENSG00000110172,WBGene00000502,
WBGene00000503,ENSG00000133063,WBGene00000503,
WBGene00000506,ENSG00000112237,WBGene00000506,
WBGene00000508,ENSG00000221978,WBGene00000508,
WBGene00000509,ENSG00000100288,WBGene00000509,
WBGene00000509,ENSG00000110721,WBGene00000509,
WBGene00000510,ENSG00000100288,WBGene00000510,
WBGene00000510,ENSG00000110721,WBGene00000510,
WBGene00000515,ENSG00000139163,WBGene00000515,
WBGene00000518,ENSG00000004660,WBGene00000518,
WBGene00000519,ENSG00000196419,WBGene00000519,
WBGene00000520,ENSG00000079246,WBGene00000520,
WBGene00000530,ENSG00000114859,WBGene00000530,
WBGene00000530,ENSG00000188037,WBGene00000530,
WBGene00000532,ENSG00000109572,WBGene00000532,
WBGene00000533,ENSG00000103249,WBGene00000533,
WBGene00000536,ENSG00000167186,WBGene00000536,
WBGene00000537,ENSG00000100726,WBGene00000537,
WBGene00000539,ENSG00000188603,WBGene00000539,
WBGene00000540,ENSG00000188603,WBGene00000540,
WBGene00000543,ENSG00000131375,WBGene00000543,
WBGene00000545,ENSG00000135773,WBGene00000545,
WBGene00000545,ENSG00000137225,WBGene00000545,
WBGene00000545,ENSG00000162909,WBGene00000545,
WBGene00000545,ENSG00000203697,WBGene00000545,
WBGene00000549,ENSG00000074054,WBGene00000549,
WBGene00000549,ENSG00000163539,WBGene00000549,
WBGene00000552,ENSG00000143933,WBGene00000552,
WBGene00000552,ENSG00000160014,WBGene00000552,
WBGene00000552,ENSG00000198668,WBGene00000552,
WBGene00000553,ENSG00000134072,WBGene00000553,
WBGene00000553,ENSG00000183049,WBGene00000553,
WBGene00000554,ENSG00000221823,WBGene00000554,
